No.,正誤,分野名,大分類,中分類,出典,学習日
1,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q12.html"",""令和4年秋期 問12"")",2024/8/17
2,○,ストラテジ系,企業と法務,企業活動,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q75.html"",""令和4年秋期 問75"")",2024/8/17
3,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q44.html"",""令和4年秋期 問44"")",2024/8/17
4,×,マネジメント系,サービスマネジメント,システム監査,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q58.html"",""令和4年秋期 問58"")",2024/8/17
5,×,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q57.html"",""令和4年秋期 問57"")",2024/8/17
6,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q53.html"",""令和4年秋期 問53"")",2024/8/17
7,×,マネジメント系,サービスマネジメント,システム監査,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q59.html"",""令和4年秋期 問59"")",2024/8/17
8,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q17.html"",""令和4年秋期 問17"")",2024/8/17
9,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q19.html"",""令和4年秋期 問19"")",2024/8/17
10,×,ストラテジ系,企業と法務,企業活動,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q74.html"",""令和4年秋期 問74"")",2024/8/17
11,○,テクノロジ系,コンピュータシステム,コンピュータ構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q11.html"",""令和4年秋期 問11"")",2024/8/17
12,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q23.html"",""令和4年秋期 問23"")",2024/8/17
13,×,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q5.html"",""令和4年秋期 問5"")",2024/8/17
14,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q52.html"",""令和4年秋期 問52"")",2024/8/17
15,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q2.html"",""令和4年秋期 問2"")",2024/8/17
16,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q42.html"",""令和4年秋期 問42"")",2024/8/17
17,×,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q46.html"",""令和4年秋期 問46"")",2024/8/17
18,×,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q35.html"",""令和4年秋期 問35"")",2024/8/17
19,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q15.html"",""令和4年秋期 問15"")",2024/8/17
20,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q6.html"",""令和4年秋期 問6"")",2024/8/17
21,×,ストラテジ系,経営戦略,技術戦略マネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q70.html"",""令和4年秋期 問70"")",2024/8/17
22,×,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q64.html"",""令和4年秋期 問64"")",2024/8/17
23,×,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q31.html"",""令和4年秋期 問31"")",2024/8/17
24,○,ストラテジ系,経営戦略,経営戦略マネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q68.html"",""令和4年秋期 問68"")",2024/8/17
25,×,ストラテジ系,システム戦略,システム企画,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q71.html"",""令和4年秋期 問71"")",2024/8/17
26,×,ストラテジ系,企業と法務,企業活動,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q72.html"",""令和4年秋期 問72"")",2024/8/17
27,×,ストラテジ系,経営戦略,ビジネスインダストリ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q73.html"",""令和4年秋期 問73"")",2024/8/17
28,×,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q47.html"",""令和4年秋期 問47"")",2024/8/17
29,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q26.html"",""令和4年秋期 問26"")",2024/8/17
30,×,テクノロジ系,技術要素,ネットワーク,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q33.html"",""令和4年秋期 問33"")",2024/8/17
31,×,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q55.html"",""令和4年秋期 問55"")",2024/8/17
32,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q51.html"",""令和4年秋期 問51"")",2024/8/17
33,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q38.html"",""令和4年秋期 問38"")",2024/8/17
34,○,テクノロジ系,開発技術,ソフトウェア開発管理技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q49.html"",""令和4年秋期 問49"")",2024/8/17
35,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q27.html"",""令和4年秋期 問27"")",2024/8/17
36,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q20.html"",""令和4年秋期 問20"")",2024/8/17
37,×,ストラテジ系,企業と法務,企業活動,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q77.html"",""令和4年秋期 問77"")",2024/8/17
